일자,FG(BBL),STEAM(ESSTON),ELEC(KWH),EHC,FO,H/S,L/S,Mild,CDU,RFCC,RDS,UC,Rain,ATM Temp.
2025-08-22,96452,-958,6002610,0.3201731647308509,0.005435951915754636,0.3073090850395411,0.0014563655278399808,0.36562543278601345,779950,172760,231541.891,49196.359,0.0,32.1787
2025-08-23,97171,-1231,5998155,0.38429795342064244,0.0005534187582944541,0.20820059862866272,0.0015858589110175532,0.40536217028138294,786430,172194,234608.483,49408.815,0.0,34.5569
2025-08-24,98523,-1523,5972074,0.3793503452098147,0.008147096183277549,0.1848722119753757,0.0017097119912097929,0.42592063464032237,786861,172412,237850.678,49418.432,0.0,33.5399
2025-08-25,98999,-1362,6032473,0.372433359847368,0.009060721790780721,0.19395425083531678,0.0019130512854031911,0.4226386162411313,787949,172800,240081.08899999998,49668.721,0.0,33.2271
2025-08-26,99089,-1554,6037633,0.33936824235697,0.008031025920576803,0.2550901083714615,0.0015043086952924163,0.39600631465569924,787156,172992,241087.217,49616.534,0.0014,32.4684
2025-08-27,99623,-1873,6024429,0.3381672630907201,0.007726708910821507,0.25847243830266203,0.0011012165670635744,0.39453237312873274,791406,173496,241482.25,49524.512,0.0,30.446
2025-08-28,99423,-1934,6041086,0.3542489753350476,0.007699812131703462,0.21789558670228068,0.0008226563432908133,0.41933296948767734,784128,173425,241457.99100000004,49592.613,0.0,29.4979
2025-08-29,99891,-2239,6041421,0.3547181696563547,0.005971827919125331,0.23841714179119283,0.0,0.4008928606333271,766264,173147,241027.977,49719.393,0.0,33.2282
2025-08-30,98013,-2245,5951722,0.3114540668676526,0.0,0.3550020530213355,0.0,0.333543880111012,618564,173234,241267.61699999997,49455.021,0.0,33.5821
2025-08-31,97908,-2516,5883307,0.26800832758945503,0.0,0.4625981539350129,0.0,0.26939351847553206,535246,173838,241142.91399999996,49548.533,0.0021,30.3889
2025-09-01,97395,-2632,5893850,0.26066275682674095,0.002207659008452852,0.47560056150007357,0.0,0.2615290226647326,529103,173786,241127.389,49417.042,0.0003,29.5716
2025-09-02,96682,-2589,5851881,0.2618626104347329,0.011150450678559009,0.35367891647726896,0.0,0.37330802240943906,526246,173245,241057.936,49632.888,0.0142,28.3966
2025-09-03,96472,-2607,5857698,0.2627242312830892,0.004302181517747296,0.31523073863007545,0.0,0.417742848569088,526779,173557,240872.698,49311.648,0.0,28.3669
2025-09-04,95325,-2297,5860988,0.20112975799839244,0.0013671023097372127,0.378748043970233,0.0,0.41875509572163727,528094,173550,241193.08899999998,49225.96,0.0,29.383
2025-09-05,95768,-2328,5872758,0.2483760372761357,0.011013802278913605,0.3274168281655959,0.0,0.4131933322793547,526967,174480,241566.38499999995,49097.903,0.001,29.3852
2025-09-06,95480,-2209,5850064,0.2669875808098363,0.010530966575203889,0.2900285401308454,0.0,0.4324529124841145,570009,174834,241561.70400000003,49029.575,0.0,30.4805
2025-09-07,95770,-490,5893697,0.28368863797194677,0.0003664788762662895,0.29028504103225217,0.0,0.4256598421195349,690083,174533,241345.30600000004,49303.754,0.0,31.6674
2025-09-08,95452,-1336,6001975,0.2976207913106814,0.0008116330751277294,0.27479421748815747,0.0,0.42677335812603345,747181,174941,241219.21000000002,49564.409,0.0,29.436
2025-09-09,97894,-1958,6003135,0.1864737454664669,0.008668587183279598,0.2928044881026327,0.09153390909307224,0.4205192701545485,745480,174143,241320.68699999998,49362.628,0.0306,24.2721
2025-09-10,97790,-1583,6037987,0.11532187624836869,0.008510606288741023,0.27583308317336025,0.10966966961663044,0.4906647646728995,745143,174207,241590.21600000001,49469.418,0.0,26.103
2025-09-11,96393,-1625,6041409,0.23313412539098619,0.008526460493634909,0.34177237196618315,0.041994181889194425,0.3745728602600014,749445,175664,241664.576,48831.618,0.0028,27.2332
2025-09-12,100142,-2006,6063507,0.28479385581183697,0.008588765496426133,0.3989372106503321,0.0014496507111594224,0.3062305173302453,751330,174448,241466.407,49092.556,0.001,27.4763
2025-09-13,100087,-1952,6066899,0.22605699044117333,0.00828321845560375,0.33747310225947375,0.06560865139458215,0.3625780374491669,745987,174817,241038.978,49210.512,0.0371,27.3736
2025-09-14,97962,-1695,6029878,0.1696396758722142,0.005563967950073519,0.28417935324196203,0.11054481412547557,0.4300721888102747,747946,175519,241333.858,49267.983,0.001,26.9647
2025-09-15,98516,-1673,6057715,0.3269325371762797,0.0,0.281287332431571,0.026087671938072213,0.3656924584540771,759473,175772,241285.15499999997,49210.568,0.0003,29.3503
2025-09-16,100239,-1682,6097578,0.41750703658833205,0.004447715258532417,0.21772932975169254,0.0003120680663123712,0.36000385033513066,764030,175792,239703.33500000002,49219.783,0.0,31.5135
2025-09-17,100999,-1968,6049098,0.2935981576052251,0.005200323043341587,0.3905763540658215,0.00031332965087206766,0.31031183563473985,768442,175122,236701.49899999998,49157.33,0.0052,30.4715
2025-09-18,100791,-1764,6013179,0.27855808847347363,0.005117261874984025,0.4379501975565969,9.912531195836234e-05,0.278275326782987,768095,175450,236579.978,49332.788,0.0,25.0993
2025-09-19,100508,-1476,5981881,0.22872783959973494,0.0019343842904955527,0.4519063549336171,0.02890949242062686,0.2885219287555255,748152,175278,237033.576,49212.405,0.0,25.4902
2025-09-20,99445,-1104,5997868,0.10447921284934084,0.0007993322492934252,0.3977411813680071,0.11196385178553957,0.3850164217478191,719483,176422,237146.25400000002,49547.382,0.0059,25.8907
2025-09-21,97861,-1405,5964517,0.17895135515046592,0.004211142157218011,0.428729903794997,0.06311354077997496,0.32499405811734405,730889,175820,237266.272,49281.865,0.0,23.5763
2025-09-22,99733,-1299,5999362,0.33836334469031537,0.0038642084461442705,0.4318743319413274,0.00113982126445562,0.22475829365775724,767500,176055,234358.804,49453.48,0.0,24.1007
2025-09-23,100016,-1553,6004399,0.32853031596253846,0.0038699775103863397,0.4467249659082916,0.0007210234380236019,0.22015371718075988,756920,176665,231670.915,49509.869,0.0,25.1256
2025-09-24,98721,-1349,5989191,0.283673833366139,0.00392965846530957,0.4902128455474771,0.0007073361231579858,0.22147632649791638,755131,175947,229433.99800000002,49352.142,0.0038,26.3814
2025-09-25,98667,-1043,5993270,0.22268735662901568,0.004254784090426836,0.35316903827621804,0.05809622723449632,0.3617925937698433,720932,175010,228362.005,49273.833,0.0021,27.3836
2025-09-26,98003,-859,5975766,0.14678737782067913,0.00419814512328608,0.2813215782468434,0.130193069221655,0.4374998295875364,714754,176509,227978.77800000002,49345.595,0.0,26.2669
2025-09-27,98047,-1236,5959229,0.13243613160796286,0.003964565688875965,0.40820744429500927,0.12573587231773956,0.3296559860904123,722448,175782,230236.049,49744.446,0.0,25.6356
2025-09-28,99379,-1686,5972386,0.13014228614421774,0.0004128887369802599,0.4408451006849069,0.1163187363224305,0.31228098811146454,724917,176362,228418.82200000004,49444.806,0.0,26.034
2025-09-29,100232,-1594,5973702,0.300813574282214,0.0004113230687587566,0.3302724782476144,0.0003865761379309718,0.3681160482634818,735120,175367,225419.67199999996,49329.348,0.0,24.2436
2025-09-30,97214,-1374,5956106,0.29939779492954116,0.0009587243212644477,0.2495027275799599,0.0008872640812041443,0.44925348908803037,747466,174925,223161.369,49024.179,0.0,23.6036
2025-10-01,98656,-1238,5943387,0.21016565743548654,0.0,0.47712806082013054,0.0002627467453819031,0.312443534999001,752017,175920,224536.5,49306.962,0.0,25.205
2025-10-02,97947,-1384,5951897,0.2211600311923496,0.0,0.48584330296852074,0.00019746014946028995,0.2927992056896694,735911,174857,228103.71499999997,49455.801,0.0,24.5188
2025-10-03,97716,-976,5967606,0.2665436869664994,0.0,0.36734631041399896,0.0,0.36611000261950166,715421,175003,225477.11099999998,49786.891,0.0132,21.6886
2025-10-04,98284,-836,5979518,0.27980149432543827,0.0,0.35298604516329446,8.669476031480133e-05,0.36712576575095246,721443,175626,224586.38,49498.641,0.0069,24.5795
2025-10-05,99146,-1072,5970045,0.28817005596696516,0.0,0.3572819464923618,0.0002287561730749214,0.3543192413675982,689476,175157,225366.138,49554.093,0.0024,24.5707
2025-10-06,98464,-1249,5970797,0.22518131588458112,0.0,0.4485396870817309,0.00024079047232651251,0.32603820656136134,658114,175889,224481.75300000003,49435.698,0.0049,22.9489
2025-10-07,98303,-1143,5944611,0.1704562353698804,0.0,0.45714249652416766,0.0002713854718071864,0.3721298826341448,661983,174885,225844.64500000002,49508.164,0.0038,24.0872
2025-10-08,98237,-1057,5936795,0.165895136836265,0.0,0.4472107075564696,0.0003264068431136839,0.38656774876415173,665144,176010,224831.605,49500.465,0.0003,25.3199
2025-10-09,97897,-1368,5930525,0.2041030731740534,0.0,0.393803415010759,0.0008600511254406351,0.401233460689747,661512,176004,224863.18099999998,49433.93,0.0017,23.4864
2025-10-10,98615,-1599,5933560,0.18683497226404067,0.0,0.4005180107710316,0.0008691011187257301,0.411777915846202,664287,174537,226894.908,49552.54,0.0003,23.7129
2025-10-11,99849,-1848,5938994,0.17346921172128008,0.0,0.4434820765122599,0.0004908878305291155,0.38255782393593096,665309,175586,226229.613,49493.37,0.0,25.7037
2025-10-12,98847,-1305,5925854,0.10419870246673166,0.0,0.3901151764537274,0.09820727865370021,0.4074788424258408,658777,174759,225980.18100000004,49569.774,0.0,24.0045
2025-10-13,96045,-884,5912471,0.08110833217830768,0.0,0.3039444499886937,0.11500324343309522,0.4999439743999034,655979,175995,225135.82499999998,49440.849,0.0,21.8885
2025-10-14,93878,1605,5840178,0.08718601118587173,0.0,0.2527061542215958,0.11028381036809785,0.5498240242244347,653994,161020,225621.321,49364.326,0.051,21.4123
2025-10-15,77774,7883,5321178,0.14235536453159464,0.0,0.15034097496669255,0.12064096471824719,0.5866626957834656,672720,99146,198139.34100000001,49447.705,0.0,23.4476
2025-10-16,68391,9496,4926102,0.14944852972084766,0.0,0.2249082747290037,0.112483287544617,0.5131599080055316,734430,82365,157232.696,49217.355,0.0495,22.9876
2025-10-17,67845,11075,4713505,0.13143120442249567,0.0,0.34618584980154593,0.0961812117363677,0.42620173403959066,704931,86045,158385.969,49290.438,0.0003,23.3112
2025-10-18,65308,12555,4576966,0.10574476414272829,0.0,0.2888905987216112,0.10696488459928828,0.49839975253637225,567358,73267,153665.82700000002,49019.216,0.0062,22.2004
2025-10-19,63343,12388,4463136,0.0772470740727832,0.0,0.31009868754196374,0.07541146230089463,0.5372427760843584,506465,73524,153332.902,48858.747,0.0021,20.6716
2025-10-20,63812,12098,4423469,0.11618745465664451,0.0,0.431905877402507,0.005410243222959462,0.4464964247178891,509582,73698,153215.538,48585.505,0.0038,18.6041
2025-10-21,66760,11123,4424972,0.10480665273694938,0.0,0.4028541140128596,0.1314584128400646,0.3608808204101264,515055,72929,153288.991,48835.367,0.0038,17.1098
2025-10-22,65758,9845,4377128,0.08207822038669575,0.0,0.47921413799481966,0.10128266343161692,0.3374249781868676,507229,73416,153137.9,49037.519,0.0212,17.8952
2025-10-23,65801,8775,4321942,0.09015783875996779,0.0,0.6011017565810522,0.014688413156652284,0.2940519915023277,516982,73726,153114.40899999999,49164.702,0.0031,18.8352
2025-10-24,66453,8733,4310744,0.08639934152088485,0.0,0.6036347467990542,0.018284363674974675,0.29168154800508617,523319,73815,153069.706,49343.594,0.0514,18.851
2025-10-25,66356,8332,4328660,0.06609228185888623,0.0,0.6079099159786738,0.04840322342379382,0.2775945787386462,523617,72641,153539.663,49104.249,0.0,20.1626
2025-10-26,66395,8443,4296205,0.05611858361259135,0.0,0.6322014002511406,0.053729432822241165,0.25795058331402687,556110,72951,153719.64500000002,49071.026,0.0014,18.5561
2025-10-27,66980,8989,4319924,0.22775506784709332,0.0,0.40788574199257,0.007710831159225932,0.3566483590011108,618124,72980,153701.736,49027.405,0.0,16.2504
2025-10-28,69052,8016,4357370,0.23368823493566912,0.0,0.3122274486843203,0.011400888372492254,0.44268342800751825,619680,73460,153261.706,49069.504,0.0,14.1417
2025-10-29,69368,7729,4338799,0.14242514741523962,0.0,0.2683829015646537,0.027517226510106043,0.5616747245100008,593821,73709,153872.892,49162.564,0.0,15.0433
2025-10-30,66719,8048,4331344,0.1202366174587911,0.0,0.32085652549706695,0.04581928670039834,0.5130875703437435,591556,73389,154189.566,49277.462,0.0,16.8911
