date,fg_bbl,stm_esston,elec_kwh,cdu_bbl,atm_temp,rain_mm,fg_mj,stm_mj,elec_mj,total_mj,sec_mj_per_bbl,fg_cost_mwon,stm_cost_mwon,elec_cost_mwon,total_cost_mwon,unit_cost_won_per_bbl,cqi_avg,cqi_level
2025-10-06,98464,-1249,5970797,658114,22.9489,0.0049,623.32044416,-3.8704261800000004,57.02111135,676.4711293299999,1027.8935402225145,11142.777024,-37.83216192966682,1056.831069,12161.775931070333,18479.740487317293,0.5870366714315851,Medium
2025-10-07,98303,-1143,5944611,661983,24.0872,0.0038,622.3012433199999,-3.5419512600000003,56.77103505,675.5303271099999,1020.4647658776735,11124.557298,-34.62142600929478,1052.196147,12142.132018990706,18342.060172226033,0.1741980573307943,High
2025-10-08,98237,-1057,5936795,665144,25.3199,0.0003,621.88343428,-3.2754527400000004,56.69639225000001,675.30437379,1015.2754498123714,11117.088342,-32.01648931918161,1050.812715,12135.884567680818,18245.49957254492,0.1909370601942956,High
2025-10-09,97897,-1368,5930525,661512,23.4864,0.0017,619.73108468,-4.23918576,56.636513750000006,672.12841267,1016.0487076122579,11078.611902,-41.436667349707136,1049.702925,12086.878159650292,18271.593198083014,0.615461083501064,Medium
2025-10-10,98615,-1599,5933560,664287,23.7129,0.0003,624.2763405999999,-4.955013180000001,56.66549800000001,675.9868254199998,1017.6126063282886,11159.86509,-48.43364845919715,1050.24012,12161.671561540803,18307.85723872483,0.6689933901187434,Medium
2025-10-11,99849,-1848,5938994,665309,25.7037,0.0,632.0881035599999,-5.72661936,56.717392700000005,683.0788769,1026.7092086534226,11299.511934,-55.975848875920164,1051.201938,12294.73802312408,18479.741027288193,0.9191112347456913,Medium
2025-10-12,98847,-1305,5925854,658777,24.0045,0.0,625.74500268,-4.0439601000000005,56.591905700000005,678.2929482799999,1029.6245137277103,11186.119602,-39.52839977439167,1048.876158,12195.467360225608,18512.284673304635,0.39442364458108786,High
2025-10-13,96045,-884,5912471,655979,21.8885,0.0,608.0071098,-2.7393568800000003,56.464098050000004,661.73185097,1008.7698706361027,10869.02847,-26.776325977442326,1046.507367,11888.759511022557,18123.68918977979,0.41495383706404204,High
2025-10-14,93878,1605,5840178,653994,21.4123,0.051,594.2890463199999,4.9736061000000005,55.773699900000004,655.0363523199999,1001.5938255091024,10623.797748,48.61538822827482,1033.711506,11706.124642228275,17899.437368275972,1.2020729326023238,Low
2025-10-15,77774,7883,5321178,672720,23.4476,0.0,492.3436405599999,24.427998060000004,50.81724990000001,567.58888852,843.7223339873944,8801.372484,238.77576660653605,941.848506,9981.996756606535,14838.263700509178,4.794605456082446,Low
2025-10-16,68391,9496,4926102,734430,22.9876,0.0495,432.94512203999994,29.42639472,47.0442741,509.41579085999996,693.6206185204852,7739.535906,287.6334745269144,871.920054,8899.089434526913,12117.001531156016,2.101424076632727,Low
2025-10-17,67845,11075,4713505,704931,23.3112,0.0003,429.48870179999994,34.3194315,45.01397275,508.82210604999995,721.8041284182423,7677.74727,335.4613237558527,834.290385,8847.498978755852,12550.872324746468,0.6331581014565087,Medium
2025-10-18,65308,12555,4576966,567358,22.2004,0.0062,413.42837552,38.9056851,43.710025300000005,496.04408591999993,874.3052639074446,7390.645128,380.29046679500954,810.122982,8581.05857679501,15124.592544381168,0.3216764056441593,High
2025-10-19,63343,12388,4463136,506465,20.6716,0.0021,400.98906091999993,38.38818216000001,42.6229488,482.00019187999993,951.6949678260096,7168.273938,375.2320432223479,789.975072,8333.481053222347,16454.20918172499,0.4098224121227205,High
2025-10-20,63812,12098,4423469,509582,18.6041,0.0038,403.95803728,37.48952436,42.244128950000004,483.69169059,949.193045653104,7221.348792,366.4479543835942,782.954013,8370.750759383594,16426.70023545493,0.7055663811000863,Medium
2025-10-21,66760,11123,4424972,515055,17.1098,0.0038,422.6201744,34.46817486,42.2584826,499.34683185999995,969.5019597130403,7554.96216,336.91524190847394,783.220044,8675.097445908474,16843.050637132877,1.555397242020035,Low
2025-10-22,65758,9845,4377128,507229,17.8952,0.0212,416.27707352,30.507882900000002,41.801572400000005,488.58652882,963.2464406017795,7441.569828,298.20467109493177,774.751656,8514.52615509493,16786.355186897694,0.8889837751225512,Medium
2025-10-23,65801,8775,4321942,516982,18.8352,0.0031,416.54928244,27.1921455,41.2745461,485.01597404,938.1680097953121,7446.435966,265.7944122760819,764.983734,8477.214112276082,16397.503418447996,0.9275797122240492,Medium
2025-10-24,66453,8733,4310744,523319,18.851,0.0514,420.67672932,27.06199506,41.167605200000004,488.90632958000003,934.2415039010623,7520.220198,264.5222338925383,763.001688,8547.744119892539,16333.71637546609,0.5628207420891109,Medium
2025-10-25,66356,8332,4328660,523617,20.1626,0.0,420.06267664,25.819368240000003,41.338703,487.22074788000003,930.4906981247746,7509.243096,252.37595932584784,766.17282,8527.79187532585,16286.315905186137,0.749448661018025,Medium
2025-10-26,66395,8443,4296205,556110,18.5561,0.0014,420.3095638,26.163337260000002,41.02875775,487.50165881,876.6281110032188,7513.65657,255.7381450537846,760.428285,8529.823000053784,15338.373703141076,0.3234415130575479,High
2025-10-27,66980,8989,4319924,618124,16.2504,0.0,424.0128712,27.85529298,41.2552742,493.12343838000004,797.774295092894,7579.85868,272.27646403985193,764.626548,8616.761692039852,13940.18302482973,0.34766818316145437,High
2025-10-28,69052,8016,4357370,619680,14.1417,0.0,437.12954288,24.840141120000002,41.6128835,503.5825675,812.6493795184612,7814.338632,242.8043314877576,771.25449,8828.397453487758,14246.703868912598,1.669683682892751,Low
2025-10-29,69368,7729,4338799,593821,15.0433,0.0,439.12996191999997,23.95077978,41.43553045,504.51627214999996,849.6100207806729,7850.099088,234.1111125335427,767.967423,8852.177623533542,14907.148153287848,0.7127465542573893,Medium
2025-10-30,66719,8048,4331344,591556,16.8911,0.0,422.36062635999997,24.939303360000004,41.364335200000006,488.66426492,826.0659429031233,7550.322354,243.7736102561718,766.647888,8560.743852256172,14471.569643881849,0.4657444523803737,High
2025-10-31,65477,8248,4306790,587461,17.9274,0.0,414.49821988,25.559067360000004,41.1298445,481.18713174000004,819.0963004182406,7409.770182,249.83160255876055,762.30183,8421.903614558762,14336.106762080823,0.14411279044335412,High
2025-11-01,65540,8368,4285640,597612,18.5459,0.0,414.8970376,25.93092576,40.927862,481.75582535999996,806.1347920724482,7416.89964,253.46639794031378,758.55828,8428.924317940313,14104.342479636141,0.3045804254285835,High
2025-11-02,65039,8148,4281929,626856,16.4379,0.0,411.72548715999994,25.249185360000002,40.892421950000006,477.86709447,762.3235551227076,7360.203474,246.8026064074662,757.901433,8364.907513407466,13344.225010859698,0.3420417153745569,High
2025-11-03,66495,7505,4305338,636783,13.3073,0.0,420.94260779999996,23.256644100000003,41.115977900000004,485.3152298,762.1359706524829,7524.97317,227.3261611546433,762.044826,8514.344157154643,13370.872270702332,1.2910646189737889,Low
2025-11-04,66098,7041,4304403,637585,16.1777,0.0,418.42942311999997,21.818791620000002,41.10704865,481.35526339,754.9664176384325,7480.046268,213.2716190126374,761.879331,8455.197218012638,13261.286288122585,0.704493522171047,Medium
2025-11-05,65886,7011,4297248,636091,17.6627,0.0,417.08736983999995,21.72582702,41.03871840000001,479.85191525999994,754.3762060145481,7456.055076,212.36292016724906,760.612896,8429.03089216725,13251.297207737965,0.36898984777965516,High
2025-11-06,68151,7012,4332998,638155,18.9901,0.0,431.42581644,21.72892584,41.380130900000005,494.53487318,774.9447597840649,7712.376066,212.393210128762,766.940646,8691.70992212876,13620.06083495195,0.8237655371555358,Medium
